Namn	Id
Ulricehamnstunneln västerut	SE_STA_CAMERA_Orion_4500106
Tpl Ärvinge norra	SE_STA_CAMERA_Pacific_510
Willinsbron Söderut	SE_STA_CAMERA_Orion_4500015
Botkyrkabacken	SE_STA_CAMERA_Orion_420
Trafikplats Sörentorp	SE_STA_CAMERA_Pacific_535
Undavägen västerut	SE_STA_CAMERA_PacificWest_4500142
Trafikplats Sörentorp S	SE_STA_CAMERA_Pacific_536
Trafikplats Tunberget	SE_STA_CAMERA_Orion_357
Undavägen österut	SE_STA_CAMERA_PacificWest_4500141
Trafikplats Ullna	SE_STA_CAMERA_Pacific_519
Trafikplats Björknäs	SE_STA_CAMERA_Pacific_593
Åbromotet Norra norrut	SE_STA_CAMERA_Orion_4500096
Universitetet	SE_STA_CAMERA_Pacific_577
VMS Strängnäs	SE_STA_CAMERA_Pacific_534
Åbromotet Norra söderut	SE_STA_CAMERA_Orion_4500097
Trafikplats Fittja	SE_STA_CAMERA_Pacific_529
Trafikplats Vårby	SE_STA_CAMERA_Pacific_528
Björlanda Norrut	SE_STA_CAMERA_PacificWest_4500127
Almökrysset nordväst	SE_STA_CAMERA_Orion_4500088
Trafikplats Frösunda	SE_STA_CAMERA_Pacific_543
Trafikplats Älgviken	SE_STA_CAMERA_Pacific_547
Åbromotet västerut	SE_STA_CAMERA_Orion_4500095
Vega	SE_STA_CAMERA_Pacific_523
Åbromotet norrut	SE_STA_CAMERA_Orion_4500093
Trafikplats Frösunda N	SE_STA_CAMERA_Pacific_542
Åbromotet söderut	SE_STA_CAMERA_Orion_4500094
Viby	SE_STA_CAMERA_Orion_369
Ålkistan norra	SE_STA_CAMERA_Pacific_581
Ånäsmotet sydväst	SE_STA_CAMERA_Orion_4500035
Trafikplats Frösunda S	SE_STA_CAMERA_Pacific_544
Åbromotet Södra norrut	SE_STA_CAMERA_PacificWest_4500146
Backadalsmotet norrut	SE_STA_CAMERA_Orion_4500036
Vikdalen	SE_STA_CAMERA_Orion_346
Ålkistan södra	SE_STA_CAMERA_Pacific_580
Trafikplats Haga norra	SE_STA_CAMERA_Pacific_546
Åbromotet Södra söderut	SE_STA_CAMERA_PacificWest_4500147
Ånäsmotet österut	SE_STA_CAMERA_Orion_4500054
Ålstäket	SE_STA_CAMERA_Orion_341
Viksängen	SE_STA_CAMERA_Orion_559
Årstafältet	SE_STA_CAMERA_Orion_329
Årstalänken	SE_STA_CAMERA_Orion_564
Angeredsbron norrut	SE_STA_CAMERA_Orion_4500114
Tpl Rosersberg	SE_STA_CAMERA_Pacific_527
Göteborgsbacken 31.911 norrut	SE_STA_CAMERA_PacificSouth_2500073
Älvsborgsbron Norra norrut	SE_STA_CAMERA_Orion_4500050
Ånäsmotet nordväst	SE_STA_CAMERA_Orion_4500034
Älvsborgsbron Norra söderut	SE_STA_CAMERA_Orion_4500051
Stäketbron öst	SE_STA_CAMERA_Orion_448
Älvsborgsbron Södra norrut	SE_STA_CAMERA_Orion_4500052
Sunnanå Väster	SE_STA_CAMERA_Orion_2500002
Tpl Rotebro	SE_STA_CAMERA_Orion_370
Göteborgsbacken 31.912 sydost	SE_STA_CAMERA_PacificSouth_2500072
Tpl Salem	SE_STA_CAMERA_Orion_434
Sunnanå Öster	SE_STA_CAMERA_Orion_2500001
Älvsborgsbron Södra söderut	SE_STA_CAMERA_Orion_4500053
Ölandsbron Högbro västerut	SE_STA_CAMERA_PacificSouth_2500059
Tpl Saltskog norra	SE_STA_CAMERA_Orion_568
Tpl Saltskog västra	SE_STA_CAMERA_Orion_571
Ölandsbron Högbro österut	SE_STA_CAMERA_PacificSouth_2500060
Sveaplan/Norrtull	SE_STA_CAMERA_Orion_312
Ölandsbron Lågbro västerut	SE_STA_CAMERA_PacificSouth_2500057
Ivarsbergsmotet söderut	SE_STA_CAMERA_Orion_4500090
Tpl Saltskog östra	SE_STA_CAMERA_Orion_570
Jerikobacken	SE_STA_CAMERA_Orion_4500045
Tpl Sickla mot E4/E20	SE_STA_CAMERA_Orion_561
Ölandsbron Lågbro österut	SE_STA_CAMERA_PacificSouth_2500058
Tpl Sickla mot Nacka	SE_STA_CAMERA_Orion_560
Ölandsbron Svinö västerut	SE_STA_CAMERA_PacificSouth_2500061
Ölandsbron Svinö österut	SE_STA_CAMERA_PacificSouth_2500062
Trafikplats Älta	SE_STA_CAMERA_Pacific_587
Ölandsleden TPL norrut	SE_STA_CAMERA_PacificSouth_2500063
Tpl Skogås	SE_STA_CAMERA_Pacific_522
Traneberg mot Bromma	SE_STA_CAMERA_Orion_508
Tpl Skuru	SE_STA_CAMERA_Orion_401
Ölandsleden TPL söderut	SE_STA_CAMERA_PacificSouth_2500064
Traneberg mot Kungsholmen	SE_STA_CAMERA_Orion_507
Tpl Sofielundsplan	SE_STA_CAMERA_Orion_330
Ölandsleden TPL österut	SE_STA_CAMERA_PacificSouth_2500065
Tullan norra	SE_STA_CAMERA_Orion_502
